gene_id	colors
AC149818.2_FG001	blue
AC149829.2_FG003	blue
AC182617.3_FG001	blue
AC186512.3_FG001	turquoise
AC186512.3_FG007	turquoise
AC189795.3_FG001	red
AC190609.3_FG002	brown
AC190623.3_FG001	turquoise
AC192451.3_FG001	blue
AC195340.3_FG001	brown
AC195587.4_FG004	blue
AC196475.3_FG004	turquoise
AC196475.3_FG005	turquoise
AC196489.3_FG002	turquoise
AC198361.3_FG004	blue
AC198481.3_FG004	turquoise
AC199782.5_FG001	blue
AC202185.4_FG004	turquoise
AC203173.3_FG004	turquoise
AC203535.4_FG002	brown
AC203535.4_FG004	turquoise
AC205376.4_FG008	yellow
AC205471.4_FG002	blue
AC205521.3_FG003	yellow
AC206031.3_FG007	turquoise
AC206642.4_FG001	brown
AC206666.2_FG004	grey
AC207890.3_FG002	blue
AC209206.3_FG011	blue
AC209664.3_FG002	yellow
AC209819.3_FG012	turquoise
AC209987.4_FG002	black
AC210173.4_FG005	turquoise
AC210517.3_FG003	turquoise
AC211370.4_FG007	turquoise
AC211394.4_FG004	magenta
AC212570.3_FG006	blue
AC212835.3_FG007	yellow
AC214266.3_FG002	blue
AC214448.3_FG007	blue
AC214648.3_FG003	yellow
AC215201.3_FG005	blue
AC215260.3_FG004	yellow
AC215723.3_FG001	blue
AC216182.3_FG004	brown
AC217050.4_FG006	turquoise
AC217271.3_FG001	blue
AC217358.3_FG005	turquoise
AC217887.3_FG005	yellow
AC217977.3_FG003	blue
AC220062.3_FG001	brown
AC230013.2_FG007	brown
AC231180.2_FG006	pink
AC232238.2_FG004	green
AC233851.1_FG014	blue
AC233878.1_FG004	blue
AC233885.1_FG002	tan
AC233887.1_FG006	blue
AC233893.1_FG006	red
AC233898.1_FG004	yellow
AC233910.1_FG005	turquoise
AC233910.1_FG008	turquoise
AC233961.1_FG001	blue
AC233979.1_FG006	blue
AC234180.1_FG002	salmon
AC234199.1_FG003	blue
AC235546.1_FG001	blue
AY530952.1_FG001	blue
EF517601.1_FG012	blue
GRMZM2G000158	turquoise
GRMZM2G000219	blue
GRMZM2G000292	blue
GRMZM2G000361	yellow
GRMZM2G000397	magenta
GRMZM2G000404	greenyellow
GRMZM2G000451	magenta
GRMZM2G000453	black
GRMZM2G000614	midnightblue
GRMZM2G000734	blue
GRMZM2G000739	turquoise
GRMZM2G000812	turquoise
GRMZM2G000816	red
GRMZM2G000842	pink
GRMZM2G000936	yellow
GRMZM2G000973	yellow
GRMZM2G001043	turquoise
GRMZM2G001048	red
GRMZM2G001084	blue
GRMZM2G001097	lightcyan
GRMZM2G001106	green
GRMZM2G001114	yellow
GRMZM2G001169	green
GRMZM2G001223	black
GRMZM2G001247	turquoise
GRMZM2G001265	blue
GRMZM2G001289	black
GRMZM2G001304	green
GRMZM2G001363	red
GRMZM2G001426	red
GRMZM2G001466	blue
GRMZM2G001509	green
GRMZM2G001514	brown
GRMZM2G001577	black
GRMZM2G001602	brown
GRMZM2G001653	turquoise
GRMZM2G001661	magenta
GRMZM2G001696	blue
GRMZM2G001755	blue
GRMZM2G001764	brown
GRMZM2G001805	blue
GRMZM2G001850	yellow
GRMZM2G001898	blue
GRMZM2G001904	green
GRMZM2G001934	black
GRMZM2G001953	turquoise
GRMZM2G002023	magenta
GRMZM2G002112	salmon
GRMZM2G002128	turquoise
GRMZM2G002131	green
GRMZM2G002138	green
GRMZM2G002147	black
GRMZM2G002173	pink
GRMZM2G002178	turquoise
GRMZM2G002191	purple
GRMZM2G002297	salmon
GRMZM2G002427	turquoise
GRMZM2G002499	salmon
GRMZM2G002627	turquoise
GRMZM2G002678	blue
GRMZM2G002754	turquoise
GRMZM2G002825	yellow
GRMZM2G002858	turquoise
GRMZM2G003033	purple
GRMZM2G003059	grey
GRMZM2G003096	red
GRMZM2G003157	blue
GRMZM2G003176	salmon
GRMZM2G003225	yellow
GRMZM2G003246	turquoise
GRMZM2G003306	brown
GRMZM2G003368	black
GRMZM2G003379	yellow
GRMZM2G003501	tan
GRMZM2G003550	tan
GRMZM2G003638	yellow
GRMZM2G003663	blue
GRMZM2G003692	blue
GRMZM2G003715	green
GRMZM2G003718	yellow
GRMZM2G003762	red
GRMZM2G003784	brown
GRMZM2G003794	turquoise
GRMZM2G003869	turquoise
GRMZM2G003992	brown
GRMZM2G004012	pink
GRMZM2G004057	brown
GRMZM2G004060	red
GRMZM2G004067	lightcyan
GRMZM2G004106	green
GRMZM2G004111	brown
GRMZM2G004138	brown
GRMZM2G004161	brown
GRMZM2G004180	turquoise
